"categoryPath","heShortDesc","heDesc","heShortDescNew","heDescNew"
"מדרש/הלכה","פירושים שמתמקדים בבירור ההלכה מתוך פסוקי התורה.","","",""
"מחשבת ישראל","פילוסופיה ותאולוגיה מימי הביניים ועד ימינו, המעמיקה בסוגיות כגון בחירה חופשית והיותו של עם ישראל העם הנבחר.","ספרות ההגות היהודית כוללת יצירות פילוסופיות ותאולוגיות מימי הביניים ועד ימינו. היא בוחנת לעומק סוגיות כגון בחירה חופשית, ניסים, אמונה וסיבתיות והיותו של עם ישראל העם הנבחר.","ספרי הגות ומחשבה מימי הביניים ועד ימינו, המעמיקים בסוגיות אמונה כגון בחירה חופשית ובחירת עם ישראל.","ספרות ההגות היהודית כוללת חיבורי מחשבה ואמונה מימי הביניים ועד ימינו. היא מעמיקה בסוגיות כגון בחירה חופשית, ניסים, אמונה והשגחה, ובחירתו של עם ישראל."
"מחשבת ישראל/אחרונים","רבנים והוגים מובילים שפעלו במאה במאה ה-16 ועד המאה ה-20.","","רבנים והוגים מובילים שפעלו מן המאה ה-16 ועד המאה ה-20.",""
"מחשבת ישראל/אחרונים/מהר״ל מפראג","חיבורים פרי עטו של רבי יהודה ליווא, בן המאה ה-16, העוסקים במיסטיקה, בפילוסופיה ובפרשנות לתלמוד.","רבי יהודה ליווא, הידוע בכינויו המהר""ל מפראג, היה מיסטיקן, פילוסוף, מפרש התלמוד ודמות רבנית מרכזית במוראביה ובפראג. כתיבתו הפילוסופית הייתה לאבן יסוד בהגות היהודית ויש לה השפעה ניכרת על המחשבה החסידית וגם על הוגים מודרניים דוגמת הרב אליהו דסלר והרב קוק. המהר""ל נודע גם בזכות ספרו הראשון, גור אריה, המבאר את פירושו של רש""י לתורה, וגם בעקבות האגדה על יצירתו של הגולם מפראג.","חיבורים פרי עטו של רבי יהודה ליווא, בן המאה ה-16, העוסקים בפנימיות התורה, במחשבה ובפרשנות לתלמוד.","רבי יהודה ליווא, הידוע בכינויו המהר""ל מפראג, היה מגדולי ישראל, הוגה, מקובל ומפרש התלמוד, ומן הדמויות הרבניות המרכזיות במוראביה ובפראג. כתיבתו המחשבתית הייתה לאבן יסוד בהגות היהודית ויש לה השפעה ניכרת על תורת החסידות וגם על הוגי הדורות האחרונים, דוגמת הרב אליהו דסלר. המהר""ל נודע גם בזכות ספרו הראשון, גור אריה, המבאר את פירושו של רש""י לתורה."
"מחשבת ישראל/ראשונים","רבנים והוגים שפעלו במאה ה-11 ועד המאה ה-15.","","",""
"מילונים וספרי יעץ","מילונים, ספרי דקדוק ותחביר, ואנציקלופדיות מימי הביניים ועד ימינו.","מילונים, ספרי דקדוק ותחביר ואנציקלופדיות (מימי הביניים ועד ימינו) המשמשים כלי עזר להבנת טקסטים תנ""כיים וטקסטים של חז""ל.","",""
"משנה","חיבור התשתית הקדום של חז״ל, המתעד מגוון דעות הלכתיות ממסורת התורה שבעל פה. נחתם בשנת 200 לספירה לערך.","המשנה היא החיבור התשתית הקדום של חז״ל, והיא כוללת הוראות והדרכות שנמסרו במשך מאות שנים וקובצו יחד בסביבות שנת 200 לספירה. במשנה הלכות הקשורות בחקלאות, בפולחן, בחוקים אזרחיים, בפשיעה, בבית המקדש. היא מציגה מגוון של דעות הלכתיות, ובהלכותיה משולבים סיפורים ואגדות. המשנה היא תשתית התורה שבעל פה, ובתלמוד מובאים פירושים והרחבות לנאמר בה.","","המשנה היא חיבור התשתית הקדום של חז""ל, והיא כוללת הוראות והלכות שנמסרו במשך מאות שנים וקובצו יחד בסביבות שנת 200 לספירה. במשנה הלכות בענייני חקלאות, מועדים, דיני משפחה, ממונות ונזיקין, עבודת בית המקדש וטהרות. היא מציגה מגוון של דעות הלכתיות, ובהלכותיה משולבים דברי אגדה. המשנה היא תשתית התורה שבעל פה, ובתלמוד מובאים פירושים והרחבות לנאמר בה."
"משנה/מחברי זמננו/שערי תורת בבל","","״שערי תורת בבל״ הוא פירוש לתלמוד הבבלי, שנכתב בתחילת המאה ה-20 על ידי הרב זאב וולף רבינוביץ, המכיל גם חיבור ארוך על חכמי התלמוד ומאמר קצר יותר על התלמוד עצמו. בחיבור זה משולבות תובנות מיצירות עכשוויות על מדע ורפואה כאשר נושאים אלה עולים בדיון התלמודי. הפירוש הוא גם על חלקי האגדה שבתלמוד, וכולל בתוכו היבטים פילוסופיים, אתיים ורגשיים של המחבר. ""שערי תורת בבל"" יצא לאור על ידי בנו של המחבר, יצחק רבינוביץ, בעריכת הרב פרופסור עזרא ציון מלמד.","",""
"משנה/סדר מועד","חגים","","",""
"משנה/סדר נשים","דיני משפחה","","",""
"משנה/סדר קדשים","קורבנות","","",""
"סדר התפילה","קובצי מזמורים, פיוטים וטקסטים ריטואליים, כדוגמת הסידור וההגדה, הנאמרים יום־יום או באירועים מיוחדים.","ספרות התפילה כוללת טקסטים ריטואליים בכל מיני נוסחים ומשקפת מגוון רחב של מנהגים. ספרות התפילה היהודית הקדומה ביותר מקורה בתנ""ך. את המבנה הבסיסי של התפילה פיתחו חכמים בתקופות המשנה והתלמוד, וכן נוספו תפילות ופיוטים לאורך הדורות, מימי הביניים ועד ימינו.","קובצי תפילות, מזמורים ופיוטים, כדוגמת הסידור וההגדה, הנאמרים יום־יום או במועדים מיוחדים.","ספרות התפילה כוללת נוסחי תפילה מגוונים ומשקפת מגוון רחב של מנהגים. ראשיתה של ספרות התפילה בתנ""ך. את המבנה הבסיסי של התפילה תיקנו חכמים בתקופות המשנה והתלמוד, וכן נוספו תפילות ופיוטים לאורך הדורות, מימי הביניים ועד ימינו."
"סדר התפילה/הגדה","קובץ מדרשים, מזמורי תהילים, ברכות, תפילות ופיוטים שקובץ לשם אמירתו בליל הסדר סביב שולחן החג, ובמרכזו זיכרון סיפור יציאת מצרים.","","",""
"סדר התפילה/סידור","ספר תפילות, שהוותיקות שבהן מקורן בתנ״ך. מבנה התפילה התפתח בתקופת המשנה והתלמוד, ותפילות נוספות המשיכו להיכתב בימי הביניים ובעת החדשה.","","",""
"ספרי מוסר","ספרות הדרכה להתפתחות אישית מוסרית ורוחנית החל מימי הביניים ועד ימינו.","מוסר הוא סוגה של ספרות יהודית המספקת הדרכה להתפתחות אישית מוסרית ורוחנית. חלק מהטקסטים מתמקדים בתוכניות מעשיות לשיפור אורחות החיים, וחלקם תאורטיים יותר. ספרות המוסר זכתה לתשומת לב מוגברת עם היווסדה של תנועת המוסר בליטא במאה ה־19, שעודדה לימוד מסודר של מוסר וכן הוציאה לאור ספרות מוסר עצמאית.","",""
"ספרי מוסר/אחרונים","רבנים והוגים שחיו במאה ה-16 ועד המאה ה-20.","","",""
"ספרי מוסר/ראשונים","רבנים והוגים שחיו במאה ה-11 ועד המאה ה-15.","","",""
